Date,Close,High,Low,Open,Qty,Turnover
7/30/2014,883.0,895.0,865.0,870.0,13794.0,9133539.0
8/1/2014,870.0,887.0,870.0,881.0,5964.0,9133539.0
8/2/2014,881.0,900.0,880.0,865.0,10172.0,9133539.0
8/3/2014,851.0,870.0,850.0,860.0,11684.0,9133539.0
8/4/2014,835.0,851.0,825.0,851.0,10907.0,9133539.0
8/4/2014,860.0,883.0,860.0,883.0,11274.0,9133539.0
8/5/2014,837.0,864.0,836.0,835.0,7406.0,6257139.0
8/6/2014,870.0,899.0,853.0,837.0,46306.0,40362840.0
8/7/2014,877.0,884.0,850.0,870.0,35034.0,29077155.0
8/12/2014,870.0,874.0,855.0,877.0,19156.0,16550583.0
8/13/2014,882.0,910.0,850.0,870.0,20410.0,17817317.0
8/14/2014,885.0,900.0,880.0,882.0,14962.0,13264123.0
8/18/2014,865.0,897.0,850.0,885.0,17895.0,15572664.0
8/19/2014,880.0,885.0,861.0,865.0,27089.0,23761270.0
8/20/2014,855.0,878.0,855.0,880.0,14378.0,12453833.0
8/21/2014,868.0,875.0,826.0,855.0,17433.0,14857873.0
8/24/2014,860.0,875.0,860.0,868.0,14499.0,12562462.0
8/25/2014,829.0,855.0,809.0,860.0,13723.0,11279511.0
8/26/2014,800.0,879.0,792.0,829.0,28905.0,23709486.0
8/27/2014,851.0,855.0,816.0,800.0,20208.0,17050778.0
8/28/2014,840.0,871.0,830.0,851.0,29856.0,25379067.0
8/31/2014,821.0,841.0,815.0,840.0,13244.0,10902176.0
9/1/2014,809.0,812.0,776.0,821.0,15506.0,12171944.0
9/3/2014,785.0,805.0,780.0,809.0,13879.0,10950781.0
9/4/2014,772.0,780.0,750.0,785.0,41689.0,31676453.0
9/7/2014,716.0,784.0,716.0,772.0,10261.0,7547671.0
9/9/2014,773.0,773.0,715.0,716.0,20128.0,14904303.0
9/10/2014,760.0,803.0,740.0,773.0,17080.0,13130823.0
9/11/2014,756.0,756.0,720.0,760.0,13716.0,11183938.0
9/14/2014,748.0,763.0,748.0,756.0,8550.0,6452338.0
9/15/2014,745.0,749.0,726.0,748.0,8659.0,6394719.0
9/16/2014,705.0,731.0,683.0,745.0,27267.0,18874190.0
9/17/2014,702.0,714.0,700.0,705.0,13721.0,9663647.0
9/21/2014,655.0,663.0,644.0,672.0,9690.0,6299419.0
9/22/2014,645.0,660.0,640.0,655.0,8850.0,5718580.0
9/23/2014,660.0,683.0,657.0,645.0,5754.0,3811717.0
9/24/2014,690.0,690.0,650.0,660.0,7946.0,5335739.0
